Category,Bahan,Ingredients,Good,Careful,URL Picture
Herb and Spices,Cabai,Chilli,5,7,https://img.freepik.com/free-photo/red-fresh-chili-peppers-isolated-white_114579-43541.jpg?w=2000&t=st=1661043304~exp=1661043904~hmac=05a81cf6b8aba0422cc83742bda1c83f466d021b0221477c86b83474bbd985f2
Herb and Spices,Tomat,Tomatoes,5,7,https://img.freepik.com/free-photo/tomatoes_144627-15409.jpg?w=1800&t=st=1661043748~exp=1661044348~hmac=6653d4097949f684e3af3d6abd027f38a15183a21300197a898a4194ec255a8a
Herb and Spices,Tomat,Tomatoes,5,7,https://img.freepik.com/free-photo/tomatoes_144627-15409.jpg?w=1800&t=st=1661043748~exp=1661044348~hmac=6653d4097949f684e3af3d6abd027f38a15183a21300197a898a4194ec255a8a
Herb and Spices,Daun Salam,Bay leaf,10,14,https://img2.pngdownload.id/20180824/ses/kisspng-herb-bay-leaf-condiment-spice-crayfish-as-food--5b80b5fa3ca4b3.9702243615351618502484.jpg
Herb and Spices,Daun Jeruk,Lime leaves,7,10,https://freepikpsd.com/file/2019/10/daun-jeruk-png-1-Transparent-Images.png
Herb and Spices,Daun Bawang,Leek,9,14,https://www.pngkey.com/png/detail/426-4266416_thumbnail-daun-bawang.png
Herb and Spices,Ketumbar,Coriander,9,15,https://cdn.pixabay.com/photo/2013/12/26/15/45/coriander-233979_1280.jpg
Herb and Spices,Serai,Lemongrass,9,14,https://www.seekpng.com/png/full/106-1060872_lemongrass-lemongrass-png.png
Herb and Spices,Lengkuas,Galangal,10,14,https://img.freepik.com/free-photo/galangal-natural-herbal-is-natural-herbal-asia-white-wall_1150-21823.jpg?w=2000&t=st=1661058077~exp=1661058677~hmac=a36b89ad9b85c5a92ebcdf7111bfb1e92e2a4b14fe59703d24ae9a14942fea86
Herb and Spices,Kemiri,Kemiri,24,28,https://cdn.pixabay.com/photo/2018/04/28/11/26/hazelnut-3357096_1280.jpgg
Herb and Spices,Kapulaga,Cardamom,330,360,https://img.freepik.com/free-photo/black-cardamom-white-background_1205-8713.jpg?w=2000&t=st=1661065586~exp=1661066186~hmac=98d1a5ae5391e435a8c7a8b9862ded2bc38062275894de1a630e7b68daa0a96e
Herb and Spices,Jinten,Cumin,1000,1200,https://img.freepik.com/free-photo/cumin-seeds-dust-jeera-powder-indian-spices_466689-75770.jpg?w=2000&t=st=1661057736~exp=1661058336~hmac=b561d75b9e0d964da4986f9920df95a9857bfbf3971c0544c1c2c6f737fa214a
Herb and Spices,Kayu Manis,Cinnamon,700,720,https://img.freepik.com/free-photo/cinnamon-anise_1205-695.jpg?1&w=2000&t=st=1661057666~exp=1661058266~hmac=bae0e17d4a84b69f9b8748375707ef95fe583d8bbeb3f81c25a7198e821c37b2
Herb and Spices,Kencur,Aromatic ginger,10,14,https://img.freepik.com/premium-photo/jamu-beras-kencur-indonesian-herbal-drinks-consumed-increase-body-immunity-copy-space_583400-293.jpg?w=2000
Animal Products,Ikan Nila,Parrot fish,119,125,
Animal Products,Bandeng,Milkfish,89,95,https://img.freepik.com/free-photo/raw-fish-counter_1398-2422.jpg?w=2000&t=st=1661055642~exp=1661056242~hmac=39a36ed69bc392f1097a1774a6af6c6fce6ee57eb3b09bbf85961c40c3e88871
Animal Products,Lele,Catfish,89,95,https://t4.ftcdn.net/jpg/03/64/20/77/240_F_364207757_p7rVEoj1juWu6U8k6VZ81XaNygm1obdU.jpg
Animal Products,Udang,Shrimp,29,35,https://img.freepik.com/free-photo/fresh-shrimp-prawn_1339-2186.jpg?w=2000&t=st=1661056373~exp=1661056973~hmac=c0175c2e15d78b057eb282c6a8c4d689a13d371cc373538db08f047dfec20009
Animal Products,Kepiting,Crab,10,14,https://img.freepik.com/free-photo/steamed-crabs-white-background_1232-3349.jpg?w=2000&t=st=1661056420~exp=1661057020~hmac=7ea86f3437fc7426f903b57b5500497a506bc83f1ba5f554908fd66640ad549d
